.HEADER
..NAMES
Time,V U2.K7&K8
7.2128e-09,0.2874
7.2360e-09,0.2861
7.2593e-09,0.2850
7.2826e-09,0.2728
7.3058e-09,0.2515
7.3291e-09,0.2352
7.3524e-09,0.2319
7.3756e-09,0.2406
7.3989e-09,0.2665
7.4222e-09,0.3303
7.4454e-09,0.4352
7.4687e-09,0.5373
7.4920e-09,0.6245
7.5152e-09,0.7144
7.5385e-09,0.8025
7.5618e-09,0.8618
7.5850e-09,0.8796
7.6083e-09,0.8804
7.6316e-09,0.8857
7.6548e-09,0.8934
7.6781e-09,0.8985
7.7014e-09,0.9070
7.7246e-09,0.9223
7.7479e-09,0.9360
7.7712e-09,0.9397
7.7944e-09,0.9259
7.8177e-09,0.8877
7.8410e-09,0.8127
7.8642e-09,0.7125
7.8875e-09,0.6214
7.9108e-09,0.5291
7.9340e-09,0.4312
7.9573e-09,0.3510
7.9806e-09,0.3091
8.0038e-09,0.3002
8.0271e-09,0.2936
8.0504e-09,0.2866
8.0736e-09,0.2863
8.0969e-09,0.2837
8.1202e-09,0.2689
8.1435e-09,0.2473
8.1667e-09,0.2335
8.1900e-09,0.2327
8.2133e-09,0.2440
8.2365e-09,0.2754
8.2598e-09,0.3489
8.2831e-09,0.4573
8.3063e-09,0.5553
8.3296e-09,0.6420
8.3529e-09,0.7328
8.3761e-09,0.8175
8.3994e-09,0.8684
8.4227e-09,0.8800
8.4459e-09,0.8809
8.4692e-09,0.8873
8.4925e-09,0.8946
8.5157e-09,0.8997
8.5390e-09,0.9097
8.5623e-09,0.9255
8.5855e-09,0.9378
8.6088e-09,0.9386
8.6321e-09,0.9204
8.6553e-09,0.8760
8.6786e-09,0.7933
8.7019e-09,0.6933
8.7251e-09,0.6039
8.7484e-09,0.5094
8.7717e-09,0.4132
8.7949e-09,0.3391
8.8182e-09,0.3058
8.8415e-09,0.2993
8.8647e-09,0.2918
8.8880e-09,0.2861
8.9113e-09,0.2864
8.9345e-09,0.2818
8.9578e-09,0.2647
8.9811e-09,0.2436
9.0043e-09,0.2323
9.0276e-09,0.2340
9.0509e-09,0.2481
9.0741e-09,0.2861
9.0974e-09,0.3690
9.1207e-09,0.4784
9.1439e-09,0.5724
9.1672e-09,0.6595
9.1905e-09,0.7507
9.2137e-09,0.8308
9.2370e-09,0.8729
9.2603e-09,0.8800
9.2835e-09,0.8817
9.3068e-09,0.8890
9.3301e-09,0.8956
9.3533e-09,0.9011
9.3766e-09,0.9126
9.3999e-09,0.9285
9.4231e-09,0.9390
9.4464e-09,0.9367
9.4697e-09,0.9139
9.4929e-09,0.8627
9.5162e-09,0.7733
9.5395e-09,0.6748
9.5627e-09,0.5861
9.5860e-09,0.4896
9.6093e-09,0.3960
9.6325e-09,0.3290
9.6558e-09,0.3036
9.6791e-09,0.2981
9.7023e-09,0.2900
9.7256e-09,0.2859
9.7489e-09,0.2862
9.7721e-09,0.2793
9.7954e-09,0.2603
9.8187e-09,0.2403
9.8419e-09,0.2318
9.8652e-09,0.2357
9.8885e-09,0.2530
9.9117e-09,0.2987
9.9350e-09,0.3902
9.9583e-09,0.4985
9.9815e-09,0.5893
1.00048e-08,0.6773
1.00281e-08,0.7682
1.00513e-08,0.8425
1.00746e-08,0.8760
1.00979e-08,0.8800
1.01211e-08,0.8828
1.01444e-08,0.8905
1.01677e-08,0.8965
1.01909e-08,0.9027
1.02142e-08,0.9157
1.02375e-08,0.9312
1.02607e-08,0.9397
1.02840e-08,0.9340
1.03073e-08,0.9064
1.03305e-08,0.8477
1.03538e-08,0.7531
1.03771e-08,0.6569
1.04003e-08,0.5678
1.04236e-08,0.4700
1.04469e-08,0.3799
1.04702e-08,0.3207
1.04934e-08,0.3021
1.05167e-08,0.2967
1.05400e-08,0.2885
1.05632e-08,0.2859
1.05865e-08,0.2857
1.06098e-08,0.2764
1.06330e-08,0.2559
1.06563e-08,0.2376
1.06796e-08,0.2316
1.07028e-08,0.2378
1.07261e-08,0.2590
1.07494e-08,0.3132
1.07726e-08,0.4120
1.07959e-08,0.5175
1.08192e-08,0.6062
1.08424e-08,0.6952
1.08657e-08,0.7850
1.08890e-08,0.8524
1.09122e-08,0.8780
1.09355e-08,0.8800
1.09588e-08,0.8841
1.09820e-08,0.8919
1.10053e-08,0.8974
1.10286e-08,0.9047
1.10518e-08,0.9189
1.10751e-08,0.9337
1.10984e-08,0.9399
1.11216e-08,0.9304
1.11449e-08,0.8978
1.11682e-08,0.8311
1.11914e-08,0.7330
1.12147e-08,0.6395
1.12380e-08,0.5490
1.12612e-08,0.4507
1.12845e-08,0.3651
1.13078e-08,0.3143
1.13310e-08,0.3010
1.13543e-08,0.2950
1.13776e-08,0.2873
1.14008e-08,0.2860
1.14241e-08,0.2849
1.14474e-08,0.2729
1.14706e-08,0.2516
1.14939e-08,0.2354
1.15172e-08,0.2320
1.15404e-08,0.2405
1.15637e-08,0.2663
1.15870e-08,0.3296
1.16102e-08,0.4339
1.16335e-08,0.5357
1.16568e-08,0.6233
1.16800e-08,0.7133
1.17033e-08,0.8009
1.17266e-08,0.8606
1.17498e-08,0.8790
1.17731e-08,0.8804
1.17964e-08,0.8856
1.18196e-08,0.8932
1.18429e-08,0.8984
1.18662e-08,0.9070
1.18894e-08,0.9221
1.19127e-08,0.9357
1.19360e-08,0.9395
1.19592e-08,0.9259
1.19825e-08,0.8878
1.20058e-08,0.8131
1.20290e-08,0.7134
1.20523e-08,0.6222
1.20756e-08,0.5298
1.20988e-08,0.4321
1.21221e-08,0.3516
1.21454e-08,0.3094
1.21686e-08,0.3000
1.21919e-08,0.2933
1.22152e-08,0.2865
1.22384e-08,0.2861
1.22617e-08,0.2835
1.22850e-08,0.2691
1.23082e-08,0.2476
1.23315e-08,0.2337
1.23548e-08,0.2327
1.23780e-08,0.2438
1.24013e-08,0.2751
1.24246e-08,0.3479
1.24478e-08,0.4555
1.24711e-08,0.5533
1.24944e-08,0.6406
1.25176e-08,0.7314
1.25409e-08,0.8157
1.25642e-08,0.8670
1.25874e-08,0.8795
1.26107e-08,0.8809
1.26340e-08,0.8872
1.26572e-08,0.8943
1.26805e-08,0.8995
1.27038e-08,0.9097
1.27270e-08,0.9253
1.27503e-08,0.9374
1.27736e-08,0.9384
1.27968e-08,0.9205
1.28201e-08,0.8763
1.28434e-08,0.7938
1.28667e-08,0.6939
1.28899e-08,0.6044
1.29132e-08,0.5099
1.29365e-08,0.4137
1.29597e-08,0.3392
1.29830e-08,0.3055
1.30063e-08,0.2988
1.30295e-08,0.2915
1.30528e-08,0.2859
1.30761e-08,0.2861
1.30993e-08,0.2818
1.31226e-08,0.2650
1.31459e-08,0.2439
1.31691e-08,0.2325
1.31924e-08,0.2338
1.32157e-08,0.2478
1.32389e-08,0.2856
1.32622e-08,0.3678
1.32855e-08,0.4765
1.33087e-08,0.5704
1.33320e-08,0.6583
1.33553e-08,0.7493
1.33785e-08,0.8291
1.34018e-08,0.8715
1.34251e-08,0.8794
1.34483e-08,0.8816
1.34716e-08,0.8886
1.34949e-08,0.8951
1.35181e-08,0.9009
1.35414e-08,0.9126
1.35647e-08,0.9284
1.35879e-08,0.9387
1.36112e-08,0.9366
1.36345e-08,0.9141
1.36577e-08,0.8630
1.36810e-08,0.7735
1.37043e-08,0.6745
1.37275e-08,0.5860
1.37508e-08,0.4897
1.37741e-08,0.3959
1.37973e-08,0.3282
1.38206e-08,0.3026
1.38439e-08,0.2976
1.38671e-08,0.2898
1.38904e-08,0.2855
1.39137e-08,0.2858
1.39369e-08,0.2794
1.39602e-08,0.2606
1.39835e-08,0.2405
1.40067e-08,0.2317
1.40300e-08,0.2354
1.40533e-08,0.2527
1.40765e-08,0.2980
1.40998e-08,0.3890
1.41231e-08,0.4966
1.41463e-08,0.5877
1.41696e-08,0.6764
1.41929e-08,0.7669
1.42161e-08,0.8409
1.42394e-08,0.8746
1.42627e-08,0.8793
1.42859e-08,0.8826
1.43092e-08,0.8899
1.43325e-08,0.8959
1.43557e-08,0.9026
1.43790e-08,0.9158
1.44023e-08,0.9313
1.44255e-08,0.9395
1.44488e-08,0.9339
1.44721e-08,0.9066
1.44953e-08,0.8479
1.45186e-08,0.7525
1.45419e-08,0.6556
1.45651e-08,0.5672
1.45884e-08,0.4695
1.46117e-08,0.3789
1.46349e-08,0.3190
1.46582e-08,0.3006
1.46815e-08,0.2961
1.47047e-08,0.2882
1.47280e-08,0.2853
1.47513e-08,0.2853
1.47745e-08,0.2765
1.47978e-08,0.2562
1.48211e-08,0.2376
1.48443e-08,0.2314
1.48676e-08,0.2375
1.48909e-08,0.2587
1.49141e-08,0.3125
1.49374e-08,0.4110
1.49607e-08,0.5158
1.49839e-08,0.6050
1.50072e-08,0.6946
1.50305e-08,0.7838
1.50537e-08,0.8509
1.50770e-08,0.8764
1.51003e-08,0.8794
1.51236e-08,0.8838
1.51468e-08,0.8911
1.51701e-08,0.8968
1.51934e-08,0.9047
1.52166e-08,0.9192
1.52399e-08,0.9338
1.52632e-08,0.9397
1.52864e-08,0.9303
1.53097e-08,0.8979
1.53330e-08,0.8311
1.53562e-08,0.7316
1.53795e-08,0.6376
1.54028e-08,0.5480
1.54260e-08,0.4497
1.54493e-08,0.3634
1.54726e-08,0.3119
1.54958e-08,0.2994
1.55191e-08,0.2946
1.55424e-08,0.2870
1.55656e-08,0.2852
1.55889e-08,0.2845
1.56122e-08,0.2731
1.56354e-08,0.2519
1.56587e-08,0.2353
1.56820e-08,0.2316
1.57052e-08,0.2402
1.57285e-08,0.2661
1.57518e-08,0.3290
1.57750e-08,0.4329
1.57983e-08,0.5341
1.58216e-08,0.6224
1.58448e-08,0.7127
1.58681e-08,0.7997
1.58914e-08,0.8591
1.59146e-08,0.8775
1.59379e-08,0.8799
1.59612e-08,0.8851
1.59844e-08,0.8923
1.60077e-08,0.8979
1.60310e-08,0.9071
1.60542e-08,0.9225
1.60775e-08,0.9358
1.61008e-08,0.9393
1.61240e-08,0.9259
1.61473e-08,0.8879
1.61706e-08,0.8129
1.61938e-08,0.7117
1.62171e-08,0.6204
1.62404e-08,0.5288
1.62636e-08,0.4310
1.62869e-08,0.3498
1.63102e-08,0.3071
1.63334e-08,0.2986
1.63567e-08,0.2929
1.63800e-08,0.2861
1.64032e-08,0.2854
1.64265e-08,0.2832
1.64498e-08,0.2692
1.64730e-08,0.2478
1.64963e-08,0.2335
1.65196e-08,0.2323
1.65428e-08,0.2436
1.65661e-08,0.2748
1.65894e-08,0.3472
1.66126e-08,0.4544
1.66359e-08,0.5518
1.66592e-08,0.6399
1.66824e-08,0.7307
1.67057e-08,0.8144
1.67290e-08,0.8655
1.67522e-08,0.8782
1.67755e-08,0.8805
1.67988e-08,0.8866
1.68220e-08,0.8934
1.68453e-08,0.8991
1.68686e-08,0.9097
1.68918e-08,0.9256
1.69151e-08,0.9374
1.69384e-08,0.9382
1.69616e-08,0.9205
1.69849e-08,0.8764
1.70082e-08,0.7937
1.70314e-08,0.6925
1.70547e-08,0.6031
1.70780e-08,0.5092
1.71012e-08,0.4129
1.71245e-08,0.3377
1.71478e-08,0.3038
1.71710e-08,0.2978
1.71943e-08,0.2912
1.72176e-08,0.2855
1.72408e-08,0.2855
1.72641e-08,0.2815
1.72874e-08,0.2651
1.73106e-08,0.2441
1.73339e-08,0.2323
1.73572e-08,0.2335
1.73804e-08,0.2476
1.74037e-08,0.2853
1.74270e-08,0.3670
1.74502e-08,0.4752
1.74735e-08,0.5692
1.74968e-08,0.6576
1.75201e-08,0.7484
1.75433e-08,0.8279
1.75666e-08,0.8703
1.75899e-08,0.8786
1.76131e-08,0.8813
1.76364e-08,0.8881
1.76597e-08,0.8945
1.76829e-08,0.9006
1.77062e-08,0.9127
1.77295e-08,0.9285
1.77527e-08,0.9386
1.77760e-08,0.9364
1.77993e-08,0.9142
1.78225e-08,0.8633
1.78458e-08,0.7737
1.78691e-08,0.6740
1.78923e-08,0.5855
1.79156e-08,0.4896
1.79389e-08,0.3957
1.79621e-08,0.3275
1.79854e-08,0.3015
1.80087e-08,0.2968
1.80319e-08,0.2896
1.80552e-08,0.2852
1.80785e-08,0.2854
1.81017e-08,0.2792
1.81250e-08,0.2608
1.81483e-08,0.2407
1.81715e-08,0.2316
1.81948e-08,0.2351
1.82181e-08,0.2525
1.82413e-08,0.2975
1.82646e-08,0.3880
1.82879e-08,0.4951
1.83111e-08,0.5865
1.83344e-08,0.6754
1.83577e-08,0.7658
1.83809e-08,0.8397
1.84042e-08,0.8736
1.84275e-08,0.8789
1.84507e-08,0.8823
1.84740e-08,0.8894
1.84973e-08,0.8954
1.85205e-08,0.9023
1.85438e-08,0.9157
1.85671e-08,0.9312
1.85903e-08,0.9394
1.86136e-08,0.9339
1.86369e-08,0.9069
1.86601e-08,0.8485
1.86834e-08,0.7534
1.87067e-08,0.6562
1.87299e-08,0.5674
1.87532e-08,0.4700
1.87765e-08,0.3794
1.87997e-08,0.3190
1.88230e-08,0.2999
1.88463e-08,0.2955
1.88695e-08,0.2881
1.88928e-08,0.2851
1.89161e-08,0.2850
1.89393e-08,0.2764
1.89626e-08,0.2564
1.89859e-08,0.2379
1.90091e-08,0.2313
1.90324e-08,0.2373
1.90557e-08,0.2584
1.90789e-08,0.3118
1.91022e-08,0.4096
1.91255e-08,0.5142
1.91487e-08,0.6038
1.91720e-08,0.6935
1.91953e-08,0.7825
1.92185e-08,0.8498
1.92418e-08,0.8758
1.92651e-08,0.8792
1.92883e-08,0.8835
1.93116e-08,0.8907
1.93349e-08,0.8964
1.93581e-08,0.9044
1.93814e-08,0.9189
1.94047e-08,0.9335
1.94279e-08,0.9396
1.94512e-08,0.9305
1.94745e-08,0.8984
1.94977e-08,0.8321
1.95210e-08,0.7332
1.95443e-08,0.6387
1.95675e-08,0.5487
1.95908e-08,0.4508
1.96141e-08,0.3643
1.96373e-08,0.3124
1.96606e-08,0.2989
1.96839e-08,0.2941
1.97071e-08,0.2870
1.97304e-08,0.2852
1.97537e-08,0.2843
1.97769e-08,0.2730
1.98002e-08,0.2522
1.98235e-08,0.2355
1.98468e-08,0.2316
1.98700e-08,0.2399
1.98933e-08,0.2656
1.99166e-08,0.3280
1.99398e-08,0.4314
1.99631e-08,0.5325
1.99864e-08,0.6211
2.00096e-08,0.7115
2.00329e-08,0.7984
2.00562e-08,0.8581
2.00794e-08,0.8771
2.01027e-08,0.8796
2.01260e-08,0.8848
2.01492e-08,0.8919
2.01725e-08,0.8974
2.01958e-08,0.9067
2.02190e-08,0.9221
2.02423e-08,0.9356
2.02656e-08,0.9393
2.02888e-08,0.9261
2.03121e-08,0.8885
2.03354e-08,0.8141
2.03586e-08,0.7134
2.03819e-08,0.6214
2.04052e-08,0.5295
2.04284e-08,0.4321
2.04517e-08,0.3506
2.04750e-08,0.3074
2.04982e-08,0.2980
2.05215e-08,0.2925
2.05448e-08,0.2861
2.05680e-08,0.2853
2.05913e-08,0.2831
2.06146e-08,0.2693
2.06378e-08,0.2481
2.06611e-08,0.2338
2.06844e-08,0.2322
2.07076e-08,0.2432
2.07309e-08,0.2743
2.07542e-08,0.3461
2.07774e-08,0.4528
2.08007e-08,0.5503
2.08240e-08,0.6386
2.08472e-08,0.7294
2.08705e-08,0.8131
2.08938e-08,0.8646
2.09170e-08,0.8779
2.09403e-08,0.8802
2.09636e-08,0.8862
2.09868e-08,0.8929
2.10101e-08,0.8987
2.10334e-08,0.9094
2.10566e-08,0.9252
2.10799e-08,0.9373
2.11032e-08,0.9383
2.11264e-08,0.9208
2.11497e-08,0.8771
2.11730e-08,0.7951
2.11962e-08,0.6942
2.12195e-08,0.6041
2.12428e-08,0.5101
2.12660e-08,0.4140
2.12893e-08,0.3385
2.13126e-08,0.3038
2.13358e-08,0.2971
2.13591e-08,0.2909
2.13824e-08,0.2855
2.14056e-08,0.2853
2.14289e-08,0.2814
2.14522e-08,0.2652
2.14754e-08,0.2443
2.14987e-08,0.2325
2.15220e-08,0.2334
2.15452e-08,0.2472
2.15685e-08,0.2846
2.15918e-08,0.3659
2.16150e-08,0.4736
2.16383e-08,0.5678
2.16616e-08,0.6564
2.16848e-08,0.7472
2.17081e-08,0.8267
2.17314e-08,0.8696
2.17546e-08,0.8784
2.17779e-08,0.8810
2.18012e-08,0.8876
2.18244e-08,0.8940
2.18477e-08,0.9002
2.18710e-08,0.9123
2.18942e-08,0.9281
2.19175e-08,0.9385
2.19408e-08,0.9366
2.19640e-08,0.9146
2.19873e-08,0.8642
2.20106e-08,0.7752
2.20338e-08,0.6756
2.20571e-08,0.5864
2.20804e-08,0.4905
2.21037e-08,0.3968
2.21269e-08,0.3282
2.21502e-08,0.3014
2.21735e-08,0.2962
2.21967e-08,0.2893
2.22200e-08,0.2852
2.22433e-08,0.2853
2.22665e-08,0.2791
2.22898e-08,0.2609
2.23131e-08,0.2410
2.23363e-08,0.2317
2.23596e-08,0.2350
2.23829e-08,0.2521
2.24061e-08,0.2968
2.24294e-08,0.3867
2.24527e-08,0.4936
2.24759e-08,0.5852
2.24992e-08,0.6743
2.25225e-08,0.7646
2.25457e-08,0.8387
2.25690e-08,0.8732
2.25923e-08,0.8787
2.26155e-08,0.8820
2.26388e-08,0.8890
2.26621e-08,0.8950
2.26853e-08,0.9020
2.27086e-08,0.9154
2.27319e-08,0.9309
2.27551e-08,0.9393
2.27784e-08,0.9341
2.28017e-08,0.9073
2.28249e-08,0.8495
2.28482e-08,0.7550
2.28715e-08,0.6576
2.28947e-08,0.5682
2.29180e-08,0.4709
2.29413e-08,0.3804
2.29645e-08,0.3196
2.29878e-08,0.2997
2.30111e-08,0.2950
2.30343e-08,0.2879
2.30576e-08,0.2851
2.30809e-08,0.2849
2.31041e-08,0.2763
2.31274e-08,0.2566
2.31507e-08,0.2381
2.31739e-08,0.2314
2.31972e-08,0.2371
2.32205e-08,0.2580
2.32437e-08,0.3109
2.32670e-08,0.4083
2.32903e-08,0.5128
2.33135e-08,0.6027
2.33368e-08,0.6923
2.33601e-08,0.7813
2.33833e-08,0.8489
2.34066e-08,0.8756
2.34299e-08,0.8791
2.34531e-08,0.8831
2.34764e-08,0.8903
2.34997e-08,0.8961
2.35229e-08,0.9041
2.35462e-08,0.9186
2.35695e-08,0.9333
2.35927e-08,0.9396
2.36160e-08,0.9307
2.36393e-08,0.8989
2.36625e-08,0.8331
2.36858e-08,0.7347
2.37091e-08,0.6399
2.37323e-08,0.5495
2.37556e-08,0.4517
2.37789e-08,0.3651
2.38021e-08,0.3127
2.38254e-08,0.2985
2.38487e-08,0.2936
2.38719e-08,0.2868
2.38952e-08,0.2851
2.39185e-08,0.2842
2.39417e-08,0.2731
2.39650e-08,0.2523
2.39883e-08,0.2357
2.40115e-08,0.2315
2.40348e-08,0.2397
2.40581e-08,0.2652
2.40813e-08,0.3270
2.41046e-08,0.4299
2.41279e-08,0.5313
2.41511e-08,0.6201
2.41744e-08,0.7103
2.41977e-08,0.7972
2.42209e-08,0.8575
2.42442e-08,0.8771
2.42675e-08,0.8795
2.42907e-08,0.8845
2.43140e-08,0.8915
2.43373e-08,0.8972
2.43605e-08,0.9065
2.43838e-08,0.9217
2.44071e-08,0.9354
2.44303e-08,0.9393
2.44536e-08,0.9264
2.44769e-08,0.8891
2.45002e-08,0.8153
2.45234e-08,0.7148
2.45467e-08,0.6225
2.45700e-08,0.5304
2.45932e-08,0.4329
2.46165e-08,0.3512
2.46398e-08,0.3074
2.46630e-08,0.2976
2.46863e-08,0.2921
2.47096e-08,0.2858
2.47328e-08,0.2852
2.47561e-08,0.2831
2.47794e-08,0.2694
2.48026e-08,0.2483
2.48259e-08,0.2338
2.48492e-08,0.2321
2.48724e-08,0.2430
2.48957e-08,0.2737
2.49190e-08,0.3449
2.49422e-08,0.4512
2.49655e-08,0.5492
2.49888e-08,0.6376
2.50120e-08,0.7282
